date,eci
1981-06-01,37.3
1981-09-01,38.2
1981-12-01,39
1982-03-01,39.6
1982-06-01,40.1
1982-09-01,41
1982-12-01,41.5
1983-03-01,42.2
1983-06-01,42.7
1983-09-01,43.4
1983-12-01,43.9
1984-03-01,44.7
1984-06-01,45
1984-09-01,45.6
1984-12-01,46.2
1985-03-01,46.8
1985-06-01,47.1
1985-09-01,47.8
1985-12-01,48.2
1986-03-01,48.7
1986-06-01,49
1986-09-01,49.6
1986-12-01,49.9
1987-03-01,50.3
1987-06-01,50.7
1987-09-01,51.2
1987-12-01,51.7
1988-03-01,52.4
1988-06-01,52.9
1988-09-01,53.7
1988-12-01,54.2
1989-03-01,54.9
1989-06-01,55.5
1989-09-01,56.4
1989-12-01,56.9
1990-03-01,57.9
1990-06-01,58.5
1990-09-01,59.3
1990-12-01,59.7
1991-03-01,60.5
1991-06-01,61.2
1991-09-01,61.9
1991-12-01,62.3
1992-03-01,63
1992-06-01,63.4
1992-09-01,64
1992-12-01,64.4
1993-03-01,65.2
1993-06-01,65.6
1993-09-01,66.3
1993-12-01,66.7
1994-03-01,67.3
1994-06-01,67.8
1994-09-01,68.4
1994-12-01,68.7
1995-03-01,69.3
1995-06-01,69.7
1995-09-01,70.3
1995-12-01,70.6
1996-03-01,71.2
1996-06-01,71.7
1996-09-01,72.3
1996-12-01,72.6
1997-03-01,73.3
1997-06-01,73.7
1997-09-01,74.4
1997-12-01,75
1998-03-01,75.6
1998-06-01,76.2
1998-09-01,77.1
1998-12-01,77.6
1999-03-01,77.9
1999-06-01,78.7
1999-09-01,79.5
1999-12-01,80.2
2000-03-01,81.3
2000-06-01,82.1
2000-09-01,83
2000-12-01,83.6
2001-03-01,84.6
2001-06-01,85.3
2001-09-01,86.3
2001-12-01,87
2002-03-01,87.9
2002-06-01,88.7
2002-09-01,89.5
2002-12-01,90
2003-03-01,91.3
2003-06-01,92
2003-09-01,93
2003-12-01,93.5
2004-03-01,94.7
2004-06-01,95.6
2004-09-01,96.5
2004-12-01,96.9
2005-03-01,98
2005-06-01,98.6
2005-09-01,99.5
2005-12-01,100
2006-03-01,100.7
2006-06-01,101.6
2006-09-01,102.7
2006-12-01,103.3
2007-03-01,104.2
2007-06-01,105
2007-09-01,106.1
2007-12-01,106.7
2008-03-01,107.6
2008-06-01,108.3
2008-09-01,109.2
2008-12-01,109.5
2009-03-01,109.9
2009-06-01,110.2
2009-09-01,110.8
2009-12-01,111
2010-03-01,111.8
2010-06-01,112.3
2010-09-01,112.9
2010-12-01,113.2
2011-03-01,114
2011-06-01,114.8
2011-09-01,115.2
2011-12-01,115.5
2012-03-01,116.2
2012-06-01,116.8
2012-09-01,117.4
2012-12-01,117.7
2013-03-01,118.4
2013-06-01,119
2013-09-01,119.6
2013-12-01,120
2014-03-01,120.5
2014-06-01,121.4
2014-09-01,122.2
2014-12-01,122.7
2015-03-01,123.6
2015-06-01,123.8
2015-09-01,124.6
2015-12-01,125.1
2016-03-01,126
2016-06-01,126.7
2016-09-01,127.5
2016-12-01,127.9
2017-03-01,129
2017-06-01,129.7
2017-09-01,130.7
2017-12-01,131.2
2018-03-01,132.5
2018-06-01,133.3
2018-09-01,134.4
2018-12-01,135
2019-03-01,136.2
2019-06-01,136.9
2019-09-01,138.1
2019-12-01,138.7
2020-03-01,140
2020-06-01,140.6
2020-09-01,141.4
2020-12-01,142.2
2021-03-01,143.7
2021-06-01,144.7
2021-09-01,146.7
2021-12-01,147.9
2022-03-01,150.2
2022-06-01,152.1
2022-09-01,154.1
2022-12-01,155.4
2023-03-01,157.4
2023-06-01,159
2023-09-01,160.8
2023-12-01,161.9
2024-03-01,164
2024-06-01,165.5
2024-09-01,167
